Entity,Entity (New),Function,Expense Bucket,Prepaid Vendor
# NO NAME,# NO NAME,# NO FUNCTION,# NO EXPENSE BUCKET,
4000 Artemis Customers Placeholder,4000 Artemis Customers Placeholder,# NO FUNCTION,# NO EXPENSE BUCKET,
6414Sonicu,Sonicu,Operations,Software,
Adobe Inc.,Adobe,IT Ops,Software,
"AGILIWAY GROUP, INC.","AGILIWAY GROUP, INC.",Multiple,FTC,
AHA (American Health Association),AHA (American Health Association),Data Engineering,Software,
Airtable,Airtable,# NO FUNCTION,# NO EXPENSE BUCKET,
"Alinear, Inc DBA Spotlyfe","ALINEAR, INC. DBA SPOTLYFE",People,Software,
"ALINEAR, INC. DBA SPOTLYFE","ALINEAR, INC. DBA SPOTLYFE",People,Software,
First Mile Group (dba Alloy),Alloy,Operations,Software,
Allstacks,Allstacks,Architecture,Software,
AMA (American Medical Association),AMA (American Medical Association),Data Engineering,Software,
"Amazon Web Services, Inc.","Amazon Web Services, Inc.",IT Ops,Software,
Appextremes Llc dba Conga,Conga,# NO FUNCTION,# NO EXPENSE BUCKET,
Appknox,Appknox,Security,Software,
"Aprio, LLP",Aprio,# NO FUNCTION,# NO EXPENSE BUCKET,
Aquera,Aquera Inc.,Security,Software,
Aquera Inc,Aquera Inc.,Security,Software,
Armature Systems,"Armature Systems, Inc.",Security,Software,
"Armature Systems, Inc","Armature Systems, Inc.",Security,Software,
Aspire Systems Digital Inc,Aspire (Rapid Value),DevOps,FTC,
ATLASSIAN,Atlassian,DevOps,Software,
Avalara,Avalara,# NO FUNCTION,# NO EXPENSE BUCKET,
AWS,"Amazon Web Services, Inc.",IT Ops,Software,
Bill.com,Bill.com,Finance,Software,
"Bitly, Inc","Bitly, Inc.",IT Ops,Software,
Bitwarden,Bitwarden,Security,Software,
Blue Ridge,Blue Ridge,Operations,Software,
Blue Ridge Bank,Blue Ridge,Operations,Software,
BrowserStack,BrowserStack,Finance,Software,
Calendly LLC,Calendly LLC,IT Ops,Software,
Capgemini America Inc,CapGemini,# NO FUNCTION,# NO EXPENSE BUCKET,
Carta,Carta,Finance,Software,
"Celigo, Inc","Celigo, Inc.",Finance,Software,
"Center for Internet Security, Inc.",Center for Internet Security,# NO FUNCTION,# NO EXPENSE BUCKET,
Chat Funnels,"Chat Funnels, LLC",IT Ops,Software,
"Chat Funnels, LLC","Chat Funnels, LLC",IT Ops,Software,
Confluent,"Confluent, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
"Confluent, Inc","Confluent, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
Conga,Conga,# NO FUNCTION,# NO EXPENSE BUCKET,
Conga ***Appextremes dba,Conga ***Appextremes dba,Application Development,Software,
COPPER CRM,COPPER CRM,# NO FUNCTION,# NO EXPENSE BUCKET,
CORAL LLC,CORAL LLC,# NO FUNCTION,# NO EXPENSE BUCKET,
Critical Start,Critical Start,# NO FUNCTION,# NO EXPENSE BUCKET,
Cycode,Cycode Inc.,Security,Software,
Datadog,"Datadog, Inc.",IT Ops,Software,
"Datadog, Inc.","Datadog, Inc.",IT Ops,Software,
Definitive Healthcare,"Definitive Healthcare, LLC",Data Engineering,Software,
"Definitive Healthcare, LLC","Definitive Healthcare, LLC",Data Engineering,Software,
Docebo NA Inc,Docebo NA Inc.,People,Software,
Docker,Docker,IT Ops,Software,
Docusign,DocuSign Inc.,Finance,Software,
DocuSign Inc,DocuSign Inc.,Finance,Software,
"Domo, Inc","Domo, Inc.",Operations,Software,X
DR/ Decision Resources LLC (Clarivate),DR/ Decision Resources LLC (Clarivate),Health & Economic Research,Software,
DRG (Clarivate),DR/ Decision Resources LLC (Clarivate),Health & Economic Research,Software,
Dun & Bradstreet,Dun & Bradstreet,Sales & Marketing,Software,
Dun & Bradstreet Inc.,Dun & Bradstreet,Sales & Marketing,Software,
"DXC Technology fka Virtual Clarity, Inc",Virtual Clarity,# NO FUNCTION,# NO EXPENSE BUCKET,
Ebrothers,ELB eLearning Brothers,Finance,Software,
ELATION HEALTH,ELATION HEALTH,Operations,Software,
"ELB Learning - Plato eLearning, LLC",ELB eLearning Brothers,Finance,Software,
eLearning Brothers,ELB eLearning Brothers,Finance,Software,
Email on Acid,Email on Acid,Product,Software,
Episode 6,Episode 6,Operations,Software,
Ernst & Young LLP,EY,# NO FUNCTION,# NO EXPENSE BUCKET,
Exponential Ai,Exponential Ai,# NO FUNCTION,# NO EXPENSE BUCKET,
Fast Four USA Inc,Fast Four USA Inc.,Finance,Software,
Figma,Figma,Product Design,Software,
"FIRST STOP HEALTH, LLC","FIRST STOP HEALTH, LLC",Operations,Software,
Fishtech Group LLC,Fishtech Group LLC,Security,Software,
"Fullstory, Inc","Fullstory, Inc.",Product Design,Software,
Giact,"Giact Systems, LLC",Operations,Software,
"Giact Systems, LLC","Giact Systems, LLC",Operations,Software,
"Giact Systems, LLC - Refinitiv","Giact Systems, LLC",Operations,Software,
Github,GitHub,DevOps,Software,
"GitHub, Inc.",GitHub,DevOps,Software,
GPX Intelligance LLC (DBA Logistimatics),GPX Intelligance LLC (DBA Logistimatics),# NO FUNCTION,# NO EXPENSE BUCKET,
Grant Thorton,Grant Thorton,# NO FUNCTION,# NO EXPENSE BUCKET,
Gumroad,Gumroad,Operations,Software,
Gurock,Gurock Software GmbH,Application Development,Software,
Gurock Software GmbH,Gurock Software GmbH,Application Development,Software,
Hashicorp,Hashicorp,# NO FUNCTION,# NO EXPENSE BUCKET,
Hawaii Health Information Exchange,Hawaii Health Information Exchange,Data Engineering,Software,
Health Gorilla,Health Gorilla,Data Engineering,Software,
Health Gorilla Inc.,Health Gorilla,Data Engineering,Software,
"HireTeamMate, Inc dba Hiretual, Inc","HireTeamMate, Inc. dba Hiretual, Inc.",People,Software,
Hiretual,"HireTeamMate, Inc. dba Hiretual, Inc.",People,Software,
HireVue,HireVue,People,Software,
IBM Corporation,IBM / Promontory,# NO FUNCTION,# NO EXPENSE BUCKET,
INFOMATICS TECHNOLOGIES INC.,INFOMATICS TECHNOLOGIES INC.,Data Engineering,FTC,
InsightAppSec,InsightAppSec,Security,Software,
Intellij,Intellij,Application Development,Software,
"Inventiv Technologies, LLC",INVENTIV,IT Ops,PS,
"IVANTI, INC.","IVANTI, INC.",# NO FUNCTION,# NO EXPENSE BUCKET,
Jetbrains,Jetbrains,DevOps,Software,
Kareo,Kareo,Product,Software,
Kevin Malek (McConnell & Malek Enterprises),"McConnell & Malek Enterprises, Inc.",Application Development,FTC,
Lever,Lever,People,Software,
"Lever, Inc",Lever,People,Software,
Lightspeed Global,Lightspeed Global,Operations,Software,
Linx,Linx,Security,Software,
Logistimatics,GPX Intelligance LLC (DBA Logistimatics),# NO FUNCTION,# NO EXPENSE BUCKET,
Lucid Software,Lucid Software,Operations,Software,
Lucid Software Inc.,Lucid Software,Operations,Software,
Mailgun,MAILGUN TECHNOLOGIES Inc.,IT Ops,Software,
MAILGUN TECHNOLOGIES INC,MAILGUN TECHNOLOGIES Inc.,IT Ops,Software,
"Managed Data Loss Prevention, Inc","Managed Data Loss Prevention, Inc.",Security,Software,
"Mapbox, Inc.","Mapbox, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
MediaLab,MediaLab,Operations,Software,
"MediaLab, Inc",MediaLab,Operations,Software,
"MERIT INTERNATIONAL, INC.","MERIT INTERNATIONAL, INC.",# NO FUNCTION,# NO EXPENSE BUCKET,
Microsoft,Microsoft,IT Ops,Software,
Mimecast,Mimecast,# NO FUNCTION,# NO EXPENSE BUCKET,
Miro,Miro,# NO FUNCTION,# NO EXPENSE BUCKET,
"MobileIron, Inc","MobileIron, Inc.",Security,Software,
Monday.com,Monday.com Ltd,Operations,Software,
Monday.com Ltd,Monday.com Ltd,Operations,Software,
MongoDB,"MongoDB, Inc.",Architecture,Software,
"MongoDB, Inc","MongoDB, Inc.",Architecture,Software,
Mountain West,Mountain West,Security,Software,
"NETGAIN SOLUTIONS, Inc.","NETGAIN SOLUTIONS, Inc.",Finance,Software,
"Netrio, LLC",Netrio,# NO FUNCTION,# NO EXPENSE BUCKET,
Netsuite,NextCrew Corporation,Operations,Software,
NextCrew Corporation,NextCrew Corporation,Operations,Software,
"NinjaRMM, LLC","NinjaRMM, LLC",IT Ops,Software,
Numed8,Numed8,# NO FUNCTION,# NO EXPENSE BUCKET,
"Object Systems Group, Inc.","Object Systems Group, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
Okta,"Okta, Inc.",Security,Software,
"Okta, Inc.","Okta, Inc.",Security,Software,
"OPSWAT, Inc","OPSWAT, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
Oracle America Inc.,Oracle America Inc.,Finance,Software,
OSGHD LLC,"Object Systems Group, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
PagerDuty,"PagerDuty, Inc.",IT Ops,Software,
"PagerDuty, Inc","PagerDuty, Inc.",IT Ops,Software,
Payer Compass,Payer Compass,# NO FUNCTION,# NO EXPENSE BUCKET,
"PayScale, Inc","PayScale, Inc.",People,Software,
PC CONNECTION INC.,PC CONNECTION INC.,Operations,Software,
Pingboard,Pingboard,People,Software,
"PITCHBOOK DATA, INC.","PITCHBOOK DATA, INC.",Corporate Development,Software,
"PLACER LABS, INC.","PLACER LABS, INC.",Finance,Software,
Postman,Postman,Application Development,Software,
"Pyramid Consulting, Inc.",Pyramid Services,# NO FUNCTION,# NO EXPENSE BUCKET,
Pyramid Services,Pyramid Services,# NO FUNCTION,# NO EXPENSE BUCKET,
Qualtrics,Qualtrics,# NO FUNCTION,# NO EXPENSE BUCKET,
Quest Analytics,Quest Analytics,Sales & Marketing,Software,
QuickBooks Payments,QuickBooks Payments,# NO FUNCTION,# NO EXPENSE BUCKET,
"Quorum Analytics, Inc.",Quorum Analytics Inc.,Government Affairs,Software,
Rapid7,InsightAppSec,# NO FUNCTION,# NO EXPENSE BUCKET,
Rapid7 LLC,InsightAppSec,# NO FUNCTION,# NO EXPENSE BUCKET,
RapidValue Solutions Inc,Aspire (Rapid Value),DevOps,FTC,
Redlist,Redlist,Operations,Software,
Salesforce,Salesforce.com,Sales & Marketing,Software,
Salesforce.com,Salesforce.com,Sales & Marketing,Software,
Sentry,Sentry,Application Development,Software,
Skyflow,Skyflow Inc.,Data Engineering,Software,
Skyflow Inc.,Skyflow Inc.,Data Engineering,Software,
Smartsheet Inc,Smartsheet Inc.,Operations,Software,
Smartsheets,Smartsheet Inc.,Operations,Software,
Snowflake Inc,Snowflake Inc.,Data Engineering,Software,
SNOWFLAKE INC.,SNOWFLAKEÂ  INC.,# NO FUNCTION,# NO EXPENSE BUCKET,
SonarSource,SonarSource SA,Security,Software,
SonarSource SA,SonarSource SA,Security,Software,
Tableau,"Tableau Software, LLC",Data Engineering,Software,
"Tableau Software, LLC","Tableau Software, LLC",Data Engineering,Software,
"Talend, Inc.","Talend, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
The Receptionist,The Receptionist,Security,Software,
TriNet,TriNet,# NO FUNCTION,# NO EXPENSE BUCKET,
Twilio,Twilio,IT Ops,Software,
Udemy,"Udemy, Inc.",Operations,Software,
"Udemy, Inc.","Udemy, Inc.",Operations,Software,
Unit 21,Unit21,Operations,Software,
Unit21,Unit21,Operations,Software,
UserTesting,"UserTesting, Inc.",Product Design,Software,
"UserTesting, Inc","UserTesting, Inc.",Product Design,Software,
VERIZON,VERIZON,# NO FUNCTION,# NO EXPENSE BUCKET,
Videra Health,Videra Health,Operations,Software,
Waso,Waso,# NO FUNCTION,# NO EXPENSE BUCKET,
WHISPLI,Whispli Inc.,People,Software,
Whispli Inc,Whispli Inc.,People,Software,
Workday,"Workday, Inc.",People,Software,
"Workday, Inc","Workday, Inc.",People,Software,
"WORKSPOT, INC.","WORKSPOT, INC.",Operations,Software,
Workstream Technologies,"Workstream Technologies, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
"Workstream Technologies, Inc","Workstream Technologies, Inc.",# NO FUNCTION,# NO EXPENSE BUCKET,
WorkWave,Workwave,# NO FUNCTION,# NO EXPENSE BUCKET,
WPC,WPC,Data Engineering,Software,
YARDI,YARDI,# NO FUNCTION,# NO EXPENSE BUCKET,
"Yext, Inc","Yext, Inc.",Sales & Marketing,Software,
Zenefits,Zenefits,People,Software,
Zoom,Zoom Video Communications Inc.,IT Ops,Software,
Zoom Video Communications Inc.,Zoom Video Communications Inc.,IT Ops,Software,
